model_key,strategy,train_dataset,test_dataset,n_train,n_test,auc_roc,pr_auc,accuracy,f1_positive_class,threshold
catboost,threshold_tuning,ibm_telco,syriatel_telecom,7043,4250,0.675359998827783,0.3181425152024581,0.8585882352941177,0.009884678747940691,0.2554719955928196
catboost,threshold_tuning,syriatel_telecom,bank_churn,4250,10000,0.5981157884671687,0.25769632548704985,0.5708,0.39498167465463774,0.3087453301066416
catboost,threshold_tuning,syriatel_telecom,ibm_telco,4250,7043,0.5323437784055479,0.2951076190874214,0.7346301292063041,0.0,0.3087453301066416
catboost,threshold_tuning,ibm_telco,bank_churn,7043,10000,0.5266388835304866,0.23568627182904378,0.7814,0.1156957928802589,0.2554719955928196
catboost,threshold_tuning,bank_churn,syriatel_telecom,10000,4250,0.4748488481136464,0.13307877541927907,0.48305882352941176,0.21056413941789437,0.2480078456024012
catboost,threshold_tuning,bank_churn,ibm_telco,10000,7043,0.47277907006324377,0.24379984579356556,0.43844952435041884,0.41189591078066917,0.2480078456024012
