run_id,model_key,model,strategy,smote,class_weight,threshold_tuned,status,notes,threshold,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_positive_class,auc_roc,pr_auc,confusion_matrix,precision_no,recall_no,f1_no,support_no,precision_yes,recall_yes,f1_yes,support_yes
catboost__threshold_tuning,catboost,CatBoost,threshold_tuning,False,False,True,ok,,0.27307697827705996,0.9682352941176471,0.93323243659944,0.936244292237443,0.9347304895355484,0.968290310217125,0.8879668049792531,0.9526712328767123,0.9229026081593326,"[[716, 14], [13, 107]]",0.9821673525377229,0.9808219178082191,0.9814941740918437,730,0.8842975206611571,0.8916666666666667,0.8879668049792531,120
catboost__smote,catboost,CatBoost,smote,True,False,False,ok,,0.5,0.9682352941176471,0.953830769424284,0.9118721461187215,0.9313636649111317,0.9674659021759382,0.8810572687224669,0.9553424657534247,0.9204722023986294,"[[723, 7], [20, 100]]",0.9730820995962315,0.9904109589041096,0.9816700610997964,730,0.9345794392523364,0.8333333333333334,0.8810572687224669,120
xgboost__smote,xgboost,XGBoost,smote,True,False,False,ok,,0.5,0.9694117647058823,0.9582572529924934,0.9125570776255708,0.9336583374359098,0.9686096044786715,0.8849557522123894,0.9538013698630138,0.9177865453415145,"[[724, 6], [20, 100]]",0.9731182795698925,0.9917808219178083,0.9823609226594301,730,0.9433962264150944,0.8333333333333334,0.8849557522123894,120
lightgbm__smote,lightgbm,LightGBM,smote,True,False,False,ok,,0.5,0.971764705882353,0.9600928421683139,0.9208904109589041,0.9392162471395882,0.9711367613406918,0.8947368421052632,0.9449429223744292,0.9154559089804208,"[[724, 6], [18, 102]]",0.9757412398921833,0.9917808219178083,0.9836956521739131,730,0.9444444444444444,0.85,0.8947368421052632,120
random_forest__class_weight,random_forest,Random Forest,class_weight,False,True,False,ok,,0.5,0.9611764705882353,0.9685893816328599,0.8694634703196347,0.9107196852749547,0.958886569533329,0.8436018957345972,0.9395662100456621,0.9143781612526619,"[[728, 2], [31, 89]]",0.9591567852437418,0.9972602739726028,0.9778374748153122,730,0.978021978021978,0.7416666666666667,0.8436018957345972,120
random_forest__threshold_tuning,random_forest,Random Forest,threshold_tuning,False,False,True,ok,,0.31333333333333335,0.9658823529411765,0.9284143341382398,0.931392694063927,0.929895710982626,0.9659414443072825,0.8796680497925311,0.939851598173516,0.9136635171217161,"[[715, 15], [14, 106]]",0.9807956104252401,0.9794520547945206,0.980123372172721,730,0.8760330578512396,0.8833333333333333,0.8796680497925311,120
lightgbm__threshold_tuning,lightgbm,LightGBM,threshold_tuning,False,False,True,ok,,0.2797169806296188,0.9705882352941176,0.9557441592690266,0.9202054794520548,0.9369172264953586,0.9699918084071831,0.8908296943231441,0.9390753424657534,0.9128365556261837,"[[723, 7], [18, 102]]",0.9757085020242915,0.9904109589041096,0.9830047586675731,730,0.9357798165137615,0.85,0.8908296943231441,120
xgboost__threshold_tuning,xgboost,XGBoost,threshold_tuning,False,False,True,ok,,0.4061344563961029,0.9658823529411765,0.9554788734224926,0.9000570776255707,0.9251603814543479,0.9647782484511029,0.8699551569506726,0.9418949771689499,0.9124667082360051,"[[724, 6], [23, 97]]",0.9692101740294511,0.9917808219178083,0.980365605958023,730,0.941747572815534,0.8083333333333333,0.8699551569506726,120
xgboost__class_weight,xgboost,XGBoost,class_weight,False,True,False,ok,,0.5,0.9682352941176471,0.9504822394730652,0.9153538812785389,0.9318706046149873,0.9675911530797578,0.8820960698689956,0.9402511415525113,0.9119643549309485,"[[722, 8], [19, 101]]",0.9743589743589743,0.989041095890411,0.981645139360979,730,0.926605504587156,0.8416666666666667,0.8820960698689956,120
lightgbm__class_weight,lightgbm,LightGBM,class_weight,False,True,False,ok,,0.5,0.9705882352941176,0.9591766141306399,0.9167237442922375,0.9364478378806775,0.9698758353480907,0.8898678414096917,0.9428310502283106,0.9097928125740705,"[[724, 6], [19, 101]]",0.9744279946164199,0.9917808219178083,0.9830278343516633,730,0.9439252336448598,0.8416666666666667,0.8898678414096917,120
