run_id,model,strategy,smote,class_weight,threshold,auc_roc,f1_positive_class,bootstrap_samples,auc_roc_ci_lower,auc_roc_ci_upper,f1_ci_lower,f1_ci_upper
catboost__smote,CatBoost,smote,True,False,0.5,0.9553424657534247,0.8810572687224669,1000,0.9262540457933838,0.9799507028875379,0.8325755166931638,0.9257758250411626
xgboost__smote,XGBoost,smote,True,False,0.5,0.9538013698630138,0.8849557522123894,1000,0.9231509815711013,0.9790589840754901,0.8374326956123267,0.9264069264069265
catboost__threshold_tuning,CatBoost,threshold_tuning,False,False,0.27307697827705996,0.9526712328767123,0.8879668049792531,1000,0.9213480251571304,0.9792052676343777,0.8450407083853331,0.9250027533039648
